"question","traitScores","famille"
"J'aime résoudre des problèmes techniques et logiques.","{""R"":3,""I"":2,""A"":0,""S"":0,""E"":1,""C"":0}","Personnalite"
"Je préfère travailler avec des idées abstraites plutôt qu'avec des objets concrets.","{""R"":1,""I"":3,""A"":2,""S"":0,""E"":0,""C"":0}","Personnalite"
"Je suis attiré par les activités artistiques comme la peinture ou la musique.","{""R"":0,""I"":1,""A"":3,""S"":0,""E"":1,""C"":0}","Personnalite"
"J'aime aider les autres et travailler dans un environnement collaboratif.","{""R"":0,""I"":0,""A"":1,""S"":3,""E"":2,""C"":0}","Personnalite"
"Je suis motivé par des défis commerciaux et la prise de risques.","{""R"":0,""I"":0,""A"":0,""S"":0,""E"":3,""C"":2}","Personnalite"
"Je préfère les tâches qui demandent organisation et rigueur.","{""R"":0,""I"":0,""A"":0,""S"":1,""E"":0,""C"":3}","Personnalite"
"J'aime analyser des données et trouver des solutions précises.","{""R"":3,""I"":2,""A"":0,""S"":0,""E"":0,""C"":1}","Personnalite"
"Je préfère travailler avec des machines plutôt qu'avec des gens.","{""R"":3,""I"":1,""A"":0,""S"":0,""E"":0,""C"":0}","Personnalite"
"J'aime comprendre comment les choses fonctionnent scientifiquement.","{""R"":1,""I"":3,""A"":0,""S"":0,""E"":0,""C"":1}","Personnalite"
"Créer des œuvres originales est important pour moi.","{""R"":0,""I"":1,""A"":3,""S"":0,""E"":0,""C"":0}","Personnalite"
"J'aime enseigner ou conseiller les autres.","{""R"":0,""I"":0,""A"":0,""S"":3,""E"":1,""C"":0}","Personnalite"
"Je prends facilement des initiatives et aime diriger.","{""R"":0,""I"":0,""A"":0,""S"":1,""E"":3,""C"":1}","Personnalite"
"Je préfère un travail structuré avec des règles claires.","{""R"":0,""I"":0,""A"":0,""S"":1,""E"":0,""C"":3}","Personnalite"
"Réparer des objets mécaniques me satisfait.","{""R"":3,""I"":1,""A"":0,""S"":0,""E"":0,""C"":0}","Personnalite"
"J'aime faire des recherches théoriques.","{""R"":0,""I"":3,""A"":1,""S"":0,""E"":0,""C"":0}","Personnalite"
