"question","traitScores","famille"
"J'aime résoudre des problèmes techniques et logiques.","{""R"":3,""I"":2,""A"":0,""S"":0,""E"":1,""C"":0}","Personnalite"
"Je préfère travailler avec des idées abstraites plutôt qu'avec des objets concrets.","{""R"":1,""I"":3,""A"":2,""S"":0,""E"":0,""C"":0}","Personnalite"
"Je suis attiré par les activités artistiques comme la peinture ou la musique.","{""R"":0,""I"":1,""A"":3,""S"":0,""E"":1,""C"":0}","Personnalite"
"J'aime aider les autres et travailler dans un environnement collaboratif.","{""R"":0,""I"":0,""A"":1,""S"":3,""E"":2,""C"":0}","Personnalite"
"Je suis motivé par des défis commerciaux et la prise de risques.","{""R"":0,""I"":0,""A"":0,""S"":0,""E"":3,""C"":2}","Personnalite"
"Je préfère les tâches qui demandent organisation et rigueur.","{""R"":0,""I"":0,""A"":0,""S"":1,""E"":0,""C"":3}","Personnalite"
"J'aime analyser des données et trouver des solutions précises.","{""R"":3,""I"":2,""A"":0,""S"":0,""E"":0,""C"":1}","Personnalite"
"Je suis curieux et aime apprendre de nouvelles choses intellectuelles.","{""R"":1,""I"":3,""A"":0,""S"":0,""E"":1,""C"":0}","Personnalite"
"Je suis sensible à la beauté et à la créativité dans tout ce que je fais.","{""R"":0,""I"":0,""A"":3,""S"":1,""E"":0,""C"":0}","Personnalite"
"J'aime travailler en équipe et soutenir les autres.","{""R"":0,""I"":0,""A"":1,""S"":3,""E"":1,""C"":0}","Personnalite"
"Je suis ambitieux et aime diriger des projets.","{""R"":0,""I"":0,""A"":0,""S"":0,""E"":3,""C"":1}","Personnalite"
"J'apprécie les environnements structurés avec des règles claires.","{""R"":0,""I"":0,""A"":0,""S"":1,""E"":0,""C"":3}","Personnalite"
"Je prends plaisir à construire ou réparer des objets techniques.","{""R"":3,""I"":1,""A"":0,""S"":0,""E"":0,""C"":2}","Personnalite"
"Je préfère réfléchir à des concepts complexes et innovants.","{""R"":1,""I"":3,""A"":1,""S"":0,""E"":0,""C"":0}","Personnalite"
"J'aime exprimer mes émotions à travers l'art.","{""R"":0,""I"":0,""A"":3,""S"":2,""E"":0,""C"":0}","Personnalite"
"Je suis naturellement altruiste et sociable.","{""R"":0,""I"":0,""A"":1,""S"":3,""E"":2,""C"":0}","Personnalite"
"Je cherche des opportunités pour convaincre et influencer.","{""R"":0,""I"":0,""A"":0,""S"":0,""E"":3,""C"":1}","Personnalite"
"Je me sens à l'aise dans les tâches administratives et la gestion.","{""R"":0,""I"":0,""A"":0,""S"":1,""E"":0,""C"":3}","Personnalite"
"J'aime démonter et comprendre comment fonctionnent les choses.","{""R"":3,""I"":1,""A"":0,""S"":0,""E"":0,""C"":2}","Personnalite"
"Je préfère les discussions intellectuelles à la routine quotidienne.","{""R"":1,""I"":3,""A"":1,""S"":0,""E"":0,""C"":0}","Personnalite"
"Je suis passionné par la création artistique sous toutes ses formes.","{""R"":0,""I"":0,""A"":3,""S"":1,""E"":0,""C"":0}","Personnalite"
"Je suis attentif aux besoins des autres et je sais écouter.","{""R"":0,""I"":0,""A"":1,""S"":3,""E"":2,""C"":0}","Personnalite"
"J'aime prendre des initiatives et mener des actions commerciales.","{""R"":0,""I"":0,""A"":0,""S"":0,""E"":3,""C"":1}","Personnalite"
"Je suis rigoureux et aime suivre des procédures claires.","{""R"":0,""I"":0,""A"":0,""S"":1,""E"":0,""C"":3}","Personnalite"
"J'aime inventer des gadgets ou des solutions techniques.","{""R"":3,""I"":2,""A"":0,""S"":0,""E"":0,""C"":1}","Personnalite"
"Je suis attiré par la recherche scientifique et les théories.","{""R"":1,""I"":3,""A"":1,""S"":0,""E"":0,""C"":0}","Personnalite"
"J'aime explorer les émotions et les expériences humaines.","{""R"":0,""I"":0,""A"":3,""S"":2,""E"":0,""C"":0}","Personnalite"
"Je suis très sociable et aime organiser des événements.","{""R"":0,""I"":0,""A"":1,""S"":3,""E"":3,""C"":0}","Personnalite"
"J'aime négocier et convaincre dans un cadre professionnel.","{""R"":0,""I"":0,""A"":0,""S"":0,""E"":3,""C"":1}","Personnalite"
"Je suis méthodique et aime la planification précise.","{""R"":0,""I"":0,""A"":0,""S"":1,""E"":0,""C"":3}","Personnalite"
